id,YEAR,NI,STOPS,NETWORK,LABOREXP,STAFF,ELECEXP,KWH,TOTCOST,PE
1,85,13,15,27024,2240,41,82,861,4006,0.1417234
1,86,13,15,27024,2424,42,152,1597,4575,0.1348137
1,87,13,15,27024,2558,46,180,1899,4875,0.1327545
1,88,13,16,27024,2670,45,190,1913,5132,0.1364292
1,89,13,16,27024,2927,47,188,1883,5450,0.1336555
1,90,13,16,27024,3331,47,211,2105,5872,0.1286746
1,91,13,16,27024,3829,49,237,2209,6820,0.1287976
1,92,13,17,27024,4192,51,254,2357,7229,0.1208118
1,93,13,17,27024,4299,50,262,2279,7115,0.1233505
1,94,13,17,27024,4220,49,285,2337,6911,0.1263743
1,95,13,17,27024,4076,48,255,2086,7433,0.1255067
1,96,13,17,27024,4261,46,302,2347,7284,0.1297126
1,97,13,17,27024,4291,49,300,2343,7157,0.128041
2,85,13,19,29658,2894,51,181,1575,6237,0.1710128
2,86,13,20,29658,2914,51,179,1495,6261,0.1695927
2,87,13,20,29658,2920,49,184,1578,6280,0.1633099
2,88,13,20,29658,2957,48,205,1644,6457,0.1712855
2,89,13,20,29658,3131,48,209,1644,6436,0.170186
2,90,13,20,29658,3555,50,219,1725,7322,0.1629737
2,91,13,20,29658,3842,51,220,1720,7888,0.1535498
2,92,13,20,29658,3971,51,241,1720,7675,0.157081
2,93,13,20,29658,4010,51,274,1793,7550,0.1639662
2,94,13,20,29658,3922,50,269,1716,7631,0.1624455
2,95,13,21,29658,3729,47,324,1876,7938,0.1773182
2,96,13,21,29658,3625,46,345,2068,8696,0.1681732
2,97,13,21,29658,3823,45,358,2001,8340,0.1789105
3,85,13,19,22820,2106,37,184,1827,4580,0.1498684
3,86,13,19,22820,2271,39,203,2161,4921,0.1330567
3,87,13,19,22820,2407,42,221,2148,5251,0.1440986
3,88,13,19,22820,2542,40,226,2168,5407,0.1431917
3,89,13,19,22820,2697,40,223,2152,6554,0.1387209
3,90,13,19,22820,3100,42,229,2212,6578,0.1328963
3,91,13,19,22820,3418,43,240,2259,7267,0.1275411
3,92,13,19,22820,3678,44,243,2154,8120,0.1264724
3,93,13,19,22820,3776,44,243,2154,7868,0.1210444
3,94,13,19,22820,3839,43,301,2273,8133,0.1372271
3,95,13,19,23170,3918,42,366,2599,8151,0.1445825
3,96,13,19,23170,3816,40,408,2761,9744,0.1489643
3,97,13,19,23170,3892,40,383,2665,9726,0.1437148
4,85,13,4,3898,1029,18,28,231,1644,0.1803752
4,86,13,4,3898,1020,18,23,195,1641,0.1670662
4,87,13,4,3898,1036,18,25,207,1725,0.1691498
4,88,13,4,3898,1068,18,25,211,1711,0.1627519
4,89,13,4,3898,1145,19,26,214,1996,0.1626444
4,90,13,4,3898,1292,20,30,252,2181,0.1528211
4,91,13,4,3898,1403,20,30,235,2259,0.1532528
4,92,13,4,3898,1462,20,27,215,2336,0.1407863
4,93,13,4,3898,1079,19,28,201,2625,0.1494673
4,94,13,4,3898,1130,19,30,198,2616,0.1570105
4,95,13,4,3898,1100,13,24,157,2559,0.1569469
4,96,13,4,3898,1082,13,15,98,2622,0.1542956
4,97,13,4,3898,985,12,14,82,2463,0.1707317
5,85,13,9,24167,2734,47,195,1696,4817,0.1710959
5,86,13,9,24167,2807,46,206,1659,4855,0.1758799
5,87,13,9,24167,2937,47,205,1655,5302,0.1734833
5,88,13,9,24167,3061,53,206,1649,5448,0.1715992
5,89,13,9,24167,3291,53,195,1645,5776,0.1586895
5,90,13,9,24167,3581,55,193,1623,6059,0.1526516
5,91,13,9,24167,3813,53,209,1623,6379,0.1545905
5,92,13,9,24167,3910,53,233,1637,6615,0.1595667
5,93,13,9,24167,4268,53,233,1638,6834,0.1526252
5,94,13,9,24167,4367,53,255,1553,6808,0.1701537
5,95,13,9,24167,4244,53,252,1555,6745,0.1663839
5,96,13,9,24167,4402,55,238,1565,7129,0.1533031
5,97,13,9,24167,4352,52,276,1555,7230,0.177492
6,85,13,9,13810,2567,46,205,1779,4838,0.1714781
6,86,13,9,13810,2684,47,234,1876,5211,0.1766763
6,87,13,9,13810,2523,44,227,1833,5189,0.1734464
6,88,13,9,13810,2579,43,232,1859,5356,0.1714262
6,89,13,9,13810,2876,45,220,1857,5799,0.1585952
6,90,13,9,13810,3069,45,234,1961,6142,0.1531796
6,91,13,9,13810,3412,46,258,2002,6470,0.1547072
6,92,13,9,13810,3654,48,302,2125,6797,0.1593247
6,93,13,9,13810,3202,41,327,2253,6512,0.1557294
6,94,13,9,13810,3218,40,322,2068,6514,0.1613534
6,95,13,9,13810,2967,37,328,2036,6210,0.1654006
6,96,13,9,13589,3039,35,268,1881,6425,0.1436264
6,97,13,9,13589,3007,35,352,1977,6625,0.1780476
